1;Titanium White;251;241;244;Talens Rembrandt Extra Fine Artist' Oil;A buttery oil that features excellent tinting strength, a high level of pigmentation for intense colours, and a uniform degree of gloss and thickness amongst colours. Easy to mix and use. These oils are great for beginners, students in advanced studies, and working artists.;WhiteIdentifier
2;Cadmium Yellow Lemon;238;217;3;Talens Rembrandt Extra Fine Artist' Oil;A cool yellow colour, Cadmium Lemon is a single pigment colour with excellent tinting abilities. Cadmium was discovered in 1817. Its stable opaque colours have made it a popular pigment ever since. Paul Gauguin painted the Breton Woman in Prayer in 1894 with a yellow lemon dress.;YellowIdentifier
3;Cadmium Yellow Deep;255;147;0;Talens Rembrandt Extra Fine Artist' Oil;Extra rich and fully opaque, Cadmium Yellow Deep is a vibrant light orange with luminous golden yellow tints. It has a masstone of vivid orangey yellow, with an undertone displaying a rich orangey yellow. A strong opaque deep yellow which is sensitive to moisture and should not be used outdoors.;OrangeIdentifier
4;Yellow Ochre;173;115;34;Talens Rembrandt Extra Fine Artist' Oil;Yellow Ochre is a warm yellow colour. Originally made from natural iron oxides found in earth, it is one of the oldest pigments used by mankind. A synthetic version became available in the 1920s. Ideal for mixing with other mineral pigments for sensitive greens or the subtle warming of flesh tones without adding shadow.;BrownIdentifier
5;Cadmium Red Medium;200;27;9;Talens Rembrandt Extra Fine Artist' Oil;Incredibly rich and opaque, this gorgeous red is a pure genuine Cadmium Red, warm, but also deeper in value, with an intensely captivating mass tone and softly warm tints. On the traditional color wheel, it is considered to be a 'true red', close to vermilion. It is also considered a modern day replacement for vermilion, but it is more saturated (higher chroma) than genuine vermilion.;RedIdentifier
6;Quinacridone Rose;108;1;24;Talens Rembrandt Extra Fine Artist' Oil;Quinacridone Rose is a powerful, transparent rose pink. It can form part of a primary triad is it mixes to create beautiful purples and natural oranges, or can be used as the cool red in a split primary palette.  In Antiquity, Quinacridone Rose  was made from thousands of crushed kermes insects.;RedIdentifier
7;Permanent Madder Medium;117;0;10;Talens Rembrandt Extra Fine Artist' Oil;Permanent Madder Medium has a masstone of a rich burgundy brown, with a burnt red brown undertone. Rembrandt Oil Colours have an intense luminosity and depth due to the very fine grinding process, along with the highest possible concentration of pigments. Rembrandt colours are known to have the maximum degree of lightfastness and durability.;RedIdentifier
8;Ultramarine Deep;31;28;50;Talens Rembrandt Extra Fine Artist' Oil;Ultramarine is a rich transparent blue. It was created by French chemist Guimet in 1828 as a synthetic but chemically identical alternative to the expensive pigment derived from Lapis Lazuli. The pigment was considered more precious than gold. For centuries, the lone source of ultramarine was an arid strip of mountains in northern Afghanistan. Because of its prohibitive costs, the color was traditionally restricted to the raiment of Christ or the Virgin Mary.;BlueIdentifier
9;Phthalo Blue Green;18;47;81;Talens Rembrandt Extra Fine Artist' Oil;Phthalo Blue Green is an intense, deep blue with a green undertone. It is made from the modern pigment Phthalocyanine which was introduced in the 1930s.;BlueIdentifier
10;Phthalo Green Blue;0;27;34;Talens Rembrandt Extra Fine Artist' Oil;A brilliant transparent green pigment with a blue undertone. Invaluable for mixing. Add a cool or mid yellow for bright spring-greens, add a warm yellow for wonderful Sap greens. Add a crimson for the most amazing range of plum, aubergine, deep green and black hues. Add burnt sienna for pine greens. Add a blue for turquoise hues.;GreenIdentifier
